pubmed_id,findings
pmc2666320,"tsa, a biomarker commonly used in humans to monitor feline coronavirus  fcov  infection, can be easily detected in feline serum using a spectrophotometric method. the method is precise and accurate at tsa values commonly encountered in feline blood, but not at low tsa values due to high inter-assay variability. tsa levels are increased in cats with neoplastic and inflammatory diseases, confirming results reported in species other than felines. tsa cannot be used to support a diagnosis of inflammation or of fcov infection, except in the case of very high results or in cats where the pre-test probability of fcov infection is very high. the rate of fcov infection was low in cats with high tsa and vice versa, supporting the hypothesis that tsa can have a role in resistance to fcov infection."
pmc3197180,"the study found that preventive behavior, such as hand washing and wearing facemasks, can significantly reduce the spread of influenza, in addition to the effectiveness of traditional control strategies enforced by health agencies. the study suggested that a low-level combination of traditional control strategies and individual preventive behavior is sufficient to contain seasonal influenza epidemics, as a high-level combination is no longer necessary. the study recommended that health agencies should gain prior knowledge about behavioral patterns of local people before choosing influenza control strategies. the study called for a review of current control strategies and re-estimate the health resources that are necessary to contain epidemics. the study suggested that individual self-initiated behavior can change the fate of an outbreak, and its combined effectiveness with control strategies requires proper understanding if we are to fully comprehend how these control measures work."
pmc4306608,"the liposome-based immunoprecipitation system  lips  has been shown to have improved sensitivity and specificity compared to classic solid-phase assays for detecting antibodies against multiple antigens from different viruses, such as epstein-barr virus  ebv , human immunodeficiency virus  hiv , and human t-lymphotropic virus  htlv . lips has been used to identify novel infectious agents, such as hmoastv-c, a nonprimate homolog of hepatitis c virus, in animals, and to determine their impact on health. lips has allowed for the simultaneous measurement of antibody levels against multiple target proteins in infectious and autoimmune diseases, such as hiv, hcv, and ebv, in infected subjects compared to uninfected controls. lips has been used to identify individual exposure profiles to multiple infectious agents, which may influence human health, and to define disease-specific antibody profiles in chronic diseases, such as hiv and systemic lupus erythematosus  sle , which may allow for the early detection of these diseases before clinical onset. lips has the potential to provide in vivo evidence of infection, which may accelerate the discovery of new pathogens obtained from nucleic acid discovery efforts, by allowing for the identification of animal reservoirs of human-related viruses, such as middle east respiratory syndrome  mers  virus, which may cause zoonotic infections in humans."
pmc1448678,"the study found that hmpv, a recently discovered respiratory virus, is associated with approximately 15% of respiratory tract infections in hospitalized children in central israel who are negative for other common respiratory pathogens during the two winter seasons studied. the study revealed that hmpv infection presents with a clinical picture similar to bronchiolitis caused by rsv, with symptoms ranging from mild self-limiting respiratory illness to severe illness requiring mechanical ventilation. the study showed that hmpv group 1, the predominant serotype circulating, had the highest circulation rate  92% of sequenced samples  among the four subgroups reported, followed by subgroup 1b  65%  and subgroup 2b  10% . the study found that hmpv seroprevalence increases with age, reaching 100% within the age group of 5 to 14 years olds, and then decreases in individuals older than 14 years, ranging from a low of 72% in the age group of 20 to 49 to a high of 80% in individuals older than 60 years of age. the study highlighted that the viral genetic lineages and the prevalence of hmpv infections in central israel have been identified, allowing the identification of a significant number of respiratory tract infections, and more upper respiratory tract infections will be identified when sensitive diagnostic techniques are developed and routinely applied, particularly for testing common respiratory pathogens such as rhinoviruses and coronavirus."
pmc6810026,"of 1703 children enrolled in the emergency department with respiratory symptoms, 697 were positive for both rhinovirus  rv  and enterovirus by multiplex pcr. among children with rv monoinfection, there was no difference in mean viral load between those admitted and discharged from the emergency department. among admitted children with rv monoinfection, there was no difference in mean viral load between those requiring supplemental oxygen and those not requiring supplemental oxygen. children co-infected with rv and respiratory syncytial virus  rsv , metapneumovirus  mpv , or parainfluenza  piv  had lower nasal viral loads than those with rv alone. in 525 sequenced samples, the mean viral load was not different between the three rv viral species  rv-a, rv-b, rv-c ."
pmc6307628,"the study found that respiratory tract infections  rtis  were the most common antenatal complication among pregnant indian pilgrims during hajj, with 51.75% of women experiencing rtis. the study found that iron deficiency anemia  ida  was a common antenatal complication, with 17.54% of women experiencing ida. the study found that missed abortions  23.68%  and threatened abortions  8.77%  were the most common early pregnancy outcomes, with 27  23.68%  missed abortions and 2  10.53%  threatened abortions occurring among the women. the study found that there were a total of 22 births  19.3%  during the study period, with a male-to-female ratio of 1.4 1. neonatal outcomes were good in 19 cases  86.36% , but there were also cases of birth asphyxia and neonatal resuscitation. the study found that pregnant women who perform hajj pilgrimages while pregnant have a high risk of abortion, respiratory infections, and various antenatal and neonatal complications, which may go untreated. medical missions should educate patients of these risks and advise them to postpone the pilgrimage until after the pregnancy."
pmc2683306,"the patient presented with progressive dyspnea and fatigue, with a history of high-grade prostate cancer, coronary artery disease, and asbestos exposure. chest radiograph and ct scan revealed diffuse airspace opacities, ground-glass opacities, and pleural thickening consistent with pulmonary congestion and crazy-paving appearance, attributed to left ventricular dysfunction and heart failure. laboratory analysis and bronchoscopy were negative for infection and pathological changes, respectively. the patient's clinical course and rapid improvement with diuretic therapy supported the diagnosis of pulmonary congestion secondary to heart failure. coronary angiography revealed severe three-vessel coronary artery disease, and coronary artery bypass grafting was recommended."
pmc3894647,"in a study comparing the circadian rhythm of plasma corticosterone in male sprague–dawley rats housed in red-, blue-, or clear cages, the peak amplitude in the red group was significantly lower than that in the clear group, but all groups exhibited a long-duration square wave elevation in corticosterone levels that revealed a peak at the end of the light phase. in another study examining the rhythm of plasma leptin in male sprague–dawley rats housed in blue- or clear-caged groups, the peak melatonin levels in the blue group were higher than those in the clear group, but the leptin peak was significantly lower. a study investigating the circadian rhythm of plasma total fatty acids in male sprague–dawley rats housed in red-, blue-, or clear cages found that the peak amplitude in the red group was delayed by 8 hours, and the peak lactate levels in the red group were lower than those in the clear group, whereas the leptin peak was significantly higher. in a study examining the circadian rhythm of plasma insulin in male sprague–dawley rats housed in red-, blue-, or clear cages, the peak insulin levels in the red group were lower than those in the clear group, but the leptin peak was significantly higher. a study comparing the circadian rhythm of plasma corticosterone in male sprague–dawley rats housed in red-, blue-, or clear cages found that the peak amplitude in the red group was significantly lower than that in the clear group, but all groups exhibited a long-duration square wave elevation in corticosterone levels that revealed a peak at the end of the light phase."
pmc3694681,"the authors propose a novel method, multi-task pathway logistic regression  mtpl , to predict interactions between human proteins and proteins from bacterial species based on the commonality hypothesis, which suggests that the pathway memberships of human proteins from interactions should be similar across tasks. mtpl utilizes pathway information from databases like reactome and pid to construct a pathway-based objective biology representation, where a human protein can be a member of multiple pathways based on the biological processes it is involved in. the authors define a pathway-summary function, s, which aggregates all pathway vectors for a given task to summarize the pathway memberships. the authors perform enrichment analysis on the human pathways from the positive predictions of mtpl and find that 17 pathways are commonly enriched across all four bacterial species, indicating that the regularizer produced by mtpl produces predictions satisfying the commonality hypothesis. they also find that 104 pathways are enriched across the three high-throughput datasets, which is a significant fraction of the total number of pathways considered. the authors analyze the overlap between the pathways enriched in the gold-standard positives and those enriched in the predictions and provide details in the supplementary section. the authors use the cccp algorithm to optimize the objective function, which has a difference-of-convex functions form and uses the logistic loss terms, the pathway summary function, and the regularizer terms to achieve a non-convex objective function. they implement the cccp algorithm, which was originally introduced by yuille and rangarajan  2003 , to optimize this function."
pmc5643837,"the study found that mers-cov, a highly pathogenic virus, has a basic reproduction number  r  less than one in saudi arabia, indicating a subcritical epidemic that cannot lead to self-sustaining transmission in humans. this is supported by other studies that have reported similar findings. the study identified that the highest incidence of mers-cov cases was detected in the western and central regions of saudi arabia, followed by the eastern region, with limited human-to-human transmission due to variations in mers-cov receptors in the human upper and lower respiratory tract. the study found that the confidence intervals  ci  for the estimated r values varied considerably across the studied period in different regions, with reduced ci indicating more related secondary cases rather than sporadic case incidences. the study suggests that animal contact is an uncommon cause for mers-cov infection in the detected cases and that mild/asymptomatic cases, if detected, could reveal factors other than inter-human transmission that affect the mers-cov spread pattern. the study highlights the need for appropriate monitoring of cases, enhanced traceability procedures, and periodic updates of the r value to reduce transmission rate, diminish any possible opportunity of viral adaptation to human-to-human transmission, and obtain reliable data for future outbreak events in saudi arabia."
